NÂ°	URL	HTTP	Encodage	Nb_mots
1	https://fr.wikipedia.org/wiki/Robot	000	-	-
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	000	-	-
3	fr.wikipedia.org/wiki/Robot_d%27indexation	000	-	-
4	https://fr.wikipedia.org/wiki/Bot_informatique	000	-	-
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	000	-	-
6	https://roboty.magistry.fr	000	-	-
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	000	-	-
8	https://fr.wiktionary.org/wiki/robot	000	-	-
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	000	-	-
10	https://fr.wikipedia.org/wiki/Robotique	000	-	-
